Hour,minutes,H_M,Cycl_Length,SGN_Red_Time,SGN_Green_Time,StopBar_LEFT_Trigger,Freq. AOR by Cycle,Freq. AOG by Cycle,Freq. DOR by Cycle,Freq. DOG by Cycle,StopBar_RtTh_Trigger,RTOR Depart (assumption),Freq. AOR by Cycle,Freq. AOG by Cycle,Freq. DOR by Cycle,Freq. DOG by Cycle,Truck_Present,Q_filled
0,0,0,59.97,40.45,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0.02,59.98,40.46,19.52,1,0,1,0,0,0,0,0,0,0,0,0,1
0,2,0.03,60,40.46,19.54,1,0,2,1,2,1,2,2,2,2,2,0,1
0,3,0.05,59.97,40.44,19.52,1,0,1,0,1,1,0,0,2,0,2,0,2
0,4,0.07,59.97,40.45,19.52,1,0,1,0,1,1,0,1,4,0,5,0,2
0,5,0.08,60.06,40.54,19.52,1,0,3,0,3,1,0,0,4,0,4,0,1
0,6,0.1,59.98,40.45,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,7,0.12,59.96,40.44,19.53,0,0,0,0,0,1,1,1,2,1,2,0,2
0,8,0.13,59.98,40.46,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,9,0.15,60.09,40.56,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10,0.17,59.95,40.43,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11,0.18,59.97,40.54,19.42,0,0,0,0,0,0,0,0,0,0,0,0,1
0,12,0.2,60.02,40.57,19.44,0,0,0,0,0,0,0,0,0,0,0,0,1
0,13,0.22,60.03,40.5,19.53,0,0,0,0,0,0,0,0,0,0,0,0,1
0,14,0.23,59.99,40.45,19.54,1,1,0,0,1,1,0,1,0,0,1,0,2
0,15,0.25,60,40.48,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,16,0.27,59.96,40.42,19.54,0,0,0,0,0,0,0,0,0,0,0,0,1
0,17,0.28,59.99,40.45,19.53,0,0,0,0,0,1,0,1,0,0,1,0,2
0,18,0.3,60,40.47,19.53,1,1,0,0,1,1,3,3,0,3,0,0,2
0,19,0.32,59.99,40.47,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,20,0.33,60.01,40.57,19.44,0,0,0,0,0,0,0,0,0,0,0,0,1
0,21,0.35,60.09,40.56,19.53,0,0,0,0,0,0,0,0,0,0,0,0,1
0,22,0.37,60.01,40.46,19.55,0,0,0,0,0,0,0,0,0,0,0,0,1
0,23,0.38,60,40.46,19.54,0,0,0,0,0,1,0,1,0,1,0,0,2
0,24,0.4,60,40.46,19.54,0,0,0,0,0,0,0,0,0,0,0,0,1
0,25,0.42,60.09,40.56,19.53,0,0,0,0,0,0,0,0,0,0,0,0,1
0,26,0.43,60,40.47,19.53,0,0,0,0,0,0,0,0,0,0,0,0,1
0,27,0.45,60,40.48,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,28,0.47,59.98,40.46,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,29,0.48,59.99,40.45,19.54,0,0,0,0,0,0,0,0,0,0,0,0,1
0,30,0.5,59.99,40.57,19.42,0,0,0,0,0,0,0,0,0,0,0,0,1
0,31,0.52,60.08,40.56,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,32,0.53,60.01,40.47,19.54,0,0,0,0,0,1,0,0,1,0,1,0,2
0,33,0.55,59.99,40.45,19.54,0,0,0,0,0,0,0,0,0,0,0,0,1
0,34,0.57,59.98,40.46,19.52,0,0,0,0,0,1,0,1,1,0,2,0,2
0,35,0.58,60.07,40.55,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,36,0.6,59.99,40.46,19.53,0,0,0,0,0,0,0,0,0,0,0,0,1
0,37,0.62,59.97,40.45,19.53,0,0,0,0,0,0,0,0,0,0,0,0,1
0,38,0.63,59.97,40.54,19.43,0,0,0,0,0,0,0,0,0,0,0,0,1
0,39,0.65,59.99,40.56,19.43,0,0,0,0,0,1,0,0,1,0,1,0,2
0,40,0.67,60.08,40.54,19.54,0,0,0,0,0,1,0,0,1,0,1,0,2
0,41,0.68,59.99,40.45,19.53,0,0,0,0,0,1,1,1,0,1,0,0,1
0,42,0.7,59.98,40.45,19.53,0,0,0,0,0,0,0,0,0,0,0,0,1
0,46,0.77,59.98,40.46,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,47,0.78,59.98,40.45,19.53,1,0,1,0,1,0,0,0,0,0,0,0,1
0,48,0.8,59.95,40.43,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,49,0.82,59.96,40.55,19.42,0,0,0,0,0,1,0,0,1,0,1,0,2
0,50,0.83,60.09,40.55,19.53,0,0,0,0,0,0,0,0,0,0,0,0,1
0,51,0.85,59.99,40.46,19.53,0,0,0,0,0,0,0,0,0,0,0,0,1
0,52,0.87,59.96,40.45,19.51,0,0,0,0,0,0,0,0,0,0,0,0,1
0,53,0.88,60.07,40.56,19.51,0,0,0,0,0,0,0,0,0,0,0,0,1
0,54,0.9,59.99,40.46,19.53,0,0,0,0,0,0,0,0,0,0,0,0,1
0,55,0.92,59.99,40.45,19.54,0,0,0,0,0,0,0,0,0,0,0,0,1
0,56,0.93,59.98,40.46,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,57,0.95,59.98,40.46,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,58,0.97,60.07,40.55,19.52,0,0,0,0,0,0,0,0,0,0,0,0,1
0,59,0.98,60,40.46,19.54,0,0,0,0,0,1,0,1,0,0,1,0,2
1,0,1,59.98,40.45,19.53,0,0,0,0,0,0,0,0,0,0,0,0,1
